Week Ending,Customization Rate
2017-01-07,0.14906832298136646
2017-01-14,0.17050691244239632
2017-01-21,0.14814814814814814
2017-01-28,0.1659919028340081
2017-02-04,0.11428571428571428
2017-02-11,0.14245014245014245
2017-02-18,0.15675675675675677
2017-02-25,0.10784313725490197
2017-03-04,0.15562913907284767
2017-03-11,0.11650485436893204
2017-03-18,0.12375690607734807
2017-03-25,0.12973593570608496
2017-04-01,0.14610673665791776
2017-04-08,0.1539855072463768
2017-04-15,0.16431451612903225
2017-04-22,0.16910229645093947
2017-04-29,0.16470588235294117
2017-05-06,0.18566392479435959
2017-05-13,0.22468354430379747
2017-05-20,0.20982142857142858
2017-05-27,0.21212121212121213
2017-06-03,0.23841059602649006
2017-06-10,0.24621212121212122
2017-06-17,0.20930232558139536
2017-06-24,0.19095477386934673
2017-07-01,0.25
2017-07-08,0.21164021164021163
2017-07-15,0.21243523316062177
2017-07-22,0.18076923076923077
2017-07-29,0.26330532212885155
2017-08-05,0.24793388429752067
2017-08-12,0.17894736842105263
2017-08-19,0.20833333333333334
2017-08-26,0.2328767123287671
2017-09-02,0.1875
2017-09-09,0.18181818181818182
2017-09-16,0.20463320463320464
2017-09-23,0.23504273504273504
2017-09-30,0.22950819672131148
2017-10-07,0.19158878504672897
2017-10-14,0.1991701244813278
2017-10-21,0.21296296296296297
2017-10-28,0.1797752808988764
2017-11-04,0.15300546448087432
2017-11-11,0.21524663677130046
2017-11-14,0.14102564102564102
