year_month,Factory,Units,Avg. Make Time
2017-01,Elizabeth,16,15.375
2017-01,Milly,762,12.910761154855644
2017-01,Supertex,31,15.806451612903226
2017-01,Zhesi,242,13.25206611570248
2017-02,Elizabeth,9,10
2017-02,Milly,1066,9.952157598499062
2017-02,Supertex,26,15.26923076923077
2017-02,Zhesi,490,12.17827868852459
2017-03,Elizabeth,7,10.857142857142858
2017-03,Milly,2543,8.411325206449076
2017-03,Supertex,26,17
2017-03,Zhesi,1366,10.994875549048317
2017-04,Elizabeth,1,9
2017-04,Milly,3137,9.747448979591837
2017-04,Supertex,39,12.615384615384615
2017-04,Zhesi,1727,9.094438006952492
2017-05,Elizabeth,1,10
2017-05,Milly,1520,8.757236842105263
2017-05,Supertex,41,9.390243902439025
2017-05,Zhesi,729,6.5336076817558295
2017-06,Elizabeth,1,2
2017-06,Milly,699,6.506437768240343
2017-06,Supertex,27,8.11111111111111
2017-06,Zhesi,235,6.174468085106383
2017-07,Milly,823,8.949877750611247
2017-07,Supertex,17,10.058823529411764
2017-07,Zhesi,312,8.929260450160772
2017-07,NA,1,3
2017-08,Milly,820,8.178921568627452
2017-08,Supertex,5,9.6
2017-08,Zhesi,306,9.071895424836601
2017-09,Milly,770,7.277922077922078
2017-09,Zhesi,276,8.86231884057971
2017-10,Milly,632,9.106012658227849
2017-10,Zhesi,192,8.755208333333334
2017-10,NA,43,8.348837209302326
2017-11,Milly,159,6.433962264150943
2017-11,Zhesi,33,6.636363636363637
2017-11,NA,14,5.857142857142857
2017-01,All,1051,13.112274024738344
2017-02,All,1591,10.72309628697294
2017-03,All,3942,9.367579908675799
2017-04,All,4904,9.540187678498572
2017-05,All,2291,8.061545176778699
2017-06,All,962,6.465696465696466
2017-07,All,1153,8.955536181342634
2017-08,All,1131,8.42768411712511
2017-09,All,1046,7.695984703632887
2017-10,All,867,8.990772779700116
2017-11,All,206,6.427184466019417
