Cohort,returns,inventory_returns,refulfilled_return_units,year_month
Bridal,5730.99,1205.6160738450576,0,2017-01
Contemporary,2469.5252,643.9406432394622,4,2017-01
Not Assigned,106042.6348,24284.10886478956,30,2017-01
Prom,8921.9,2407.525514815423,7,2017-01
Bridal,3131.8,655.5695033916562,4,2017-02
Contemporary,3094.56,762.5668492941792,1,2017-02
Not Assigned,152286.2494,34636.15658422534,72,2017-02
Prom,16013.64,3855.172063618027,9,2017-02
Bridal,12983.72,2376.545185487533,4,2017-03
Contemporary,4189.7,1047.8278735632362,0,2017-03
Not Assigned,383727.8132,84618.02557271112,156,2017-03
Prom,57774.6,13596.447767445312,22,2017-03
Bridal,10914.43,2045.3162459156558,3,2017-04
Contemporary,9728.33,2751.1433605836805,4,2017-04
Not Assigned,436786.3272,100482.46773047277,205,2017-04
Prom,67327.39,16201.343110523889,31,2017-04
Bridal,6758.44884,1891.7773450263685,0,2017-05
Contemporary,9266.42502,2584.525049707802,0,2017-05
Not Assigned,173859.26617285714,47658.454689318365,0,2017-05
Prom,19360.449,5514.309570914791,0,2017-05
Bridal,3691.096308,1113.702160294483,0,2017-06
Contemporary,2164.7046000000005,572.4824331377347,0,2017-06
Not Assigned,84169.45572,23054.968018657342,0,2017-06
Prom,1340.9699999999993,309.4068214285715,0,2017-06
